Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",107.620000,-110.190000,-90.000000,bottom
"C21","10u","C_0805_2012Metric",103.650000,-114.010000,90.000000,bottom
"C23","220nF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",113.990000,-100.450000,-90.000000,bottom
"C24","2u2","C_0402_1005Metric",109.640000,-103.300000,90.000000,bottom
"C25","10u","C_0805_2012Metric",109.150000,-98.630000,90.000000,bottom
"C87","2u2","C_0402_1005Metric",107.760000,-97.950000,-90.000000,bottom
"C88","2u2","C_0402_1005Metric",106.250000,-101.940000,0.000000,bottom
"J1","HallSensor","Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical",99.780000,-98.860000,-90.000000,bottom
"J3","CAN1","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal",113.275000,-112.242500,-90.000000,bottom
"J4","CAN2","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal",99.000000,-112.000000,90.000000,bottom
"J5","Encoder","Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical",103.010000,-101.200000,90.000000,bottom
"J6","Inductor1","Inductor_pad",112.500000,-121.500000,90.000000,bottom
"J7","Inductor2","Inductor_pad",107.020000,-122.000000,180.000000,bottom
"J8","Inductor3","Inductor_pad",100.250000,-121.500000,90.000000,bottom
"L1","Wurth Electronics 74438335220","WE-MAPI",111.780000,-98.980000,90.000000,bottom
"R21","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",113.332500,-104.820000,180.000000,bottom
"R33","100k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",111.422500,-104.650000,180.000000,bottom
"U8","LMR16006YDDCT","SOT-23-6",112.262500,-102.820000,180.000000,bottom
"U9","MCP1700","SOT-23",106.790000,-99.637500,90.000000,bottom
