Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1u","C_0402_1005Metric",112.400000,-121.940000,180.000000,top
"C3","1u","C_0402_1005Metric",106.120000,-122.280000,90.000000,top
"C4","1u","C_0402_1005Metric",97.930000,-122.420000,-90.000000,top
"C5","1u","C_0402_1005Metric",112.270000,-126.970000,0.000000,top
"C6","1u","C_0402_1005Metric",103.720000,-126.560000,-90.000000,top
"C7","1u","C_0402_1005Metric",96.420000,-127.210000,180.000000,top
"C8","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",109.380000,-117.290000,-90.000000,top
"C9","2u2","C_0402_1005Metric",101.650000,-131.720000,90.000000,top
"C10","2u2","C_0402_1005Metric",109.410000,-131.850000,90.000000,top
"C11","2u2","C_0402_1005Metric",117.325000,-131.890000,90.000000,top
"C12","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",111.000000,-115.450000,0.000000,top
"C13","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",99.002500,-115.480000,180.000000,top
"C14","4n7","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",112.332500,-133.790000,0.000000,top
"C15","4n7","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",107.107500,-134.370000,0.000000,top
"C16","4n7","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",103.257500,-135.100000,0.000000,top
"C17","2u2","C_0402_1005Metric",101.690000,-103.370000,-90.000000,top
"C18","2u2","C_0402_1005Metric",98.960000,-116.300000,180.000000,top
"C19","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",112.390000,-108.610000,-90.000000,top
"C20","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",112.340000,-111.797500,90.000000,top
"C28","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",100.197500,-104.720000,180.000000,top
"C30","10pF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",114.797500,-116.030000,180.000000,top
"C31","10pF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",114.280000,-111.360000,0.000000,top
"C32","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",107.877500,-103.740000,0.000000,top
"C77","2u2","C_0402_1005Metric",110.010000,-104.600000,180.000000,top
"C86","2u2","C_0402_1005Metric",113.210000,-108.650000,-90.000000,top
"C89","2u2","C_0402_1005Metric",108.840000,-98.150000,-90.000000,top
"C90","2u2","C_0402_1005Metric",111.310000,-101.190000,180.000000,top
"D1","PMEG6020AELR","D_SOD-123",108.020000,-102.090000,180.000000,top
"D3","LED","LED_0402_1005Metric",104.350000,-103.430000,-90.000000,top
"D4","LED","LED_0402_1005Metric",103.370000,-103.395000,-90.000000,top
"J2","Writer","Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical",96.750000,-115.980000,90.000000,top
"J9","Additional_UART","PinHeader_1x02_P1.00mm_Vertical",95.200000,-109.350000,0.000000,top
"P1","CONN_1","PinHeader_1x01_P2.00mm_Vertical",110.000000,-137.500000,0.000000,top
"P2","CONN_1","PinHeader_1x01_P2.00mm_Vertical",107.500000,-137.500000,0.000000,top
"P3","CONN_1","PinHeader_1x01_P2.00mm_Vertical",105.000000,-137.500000,0.000000,top
"R1","5m","R_0603_1608Metric",114.090000,-122.765000,-90.000000,top
"R2","5m","R_0603_1608Metric",107.640000,-123.635000,90.000000,top
"R3","5m","R_0603_1608Metric",99.940000,-122.820000,-90.000000,top
"R4","39k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",115.527500,-109.770000,180.000000,top
"R5","2k2","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",114.457500,-109.060000,0.000000,top
"R6","4.7","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",111.920000,-123.342500,90.000000,top
"R7","4.7","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",105.180000,-122.257500,90.000000,top
"R8","4.7","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",97.930000,-124.277500,90.000000,top
"R9","220R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",109.340000,-119.062500,90.000000,top
"R12","39k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",116.137500,-122.160000,180.000000,top
"R13","2k2","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",116.580000,-120.910000,-90.000000,top
"R14","39k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",109.910000,-122.732500,-90.000000,top
"R15","2k2","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",109.307500,-121.500000,0.000000,top
"R16","25k5","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",101.640000,-122.157500,-90.000000,top
"R17","2k2","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",100.452500,-120.840000,0.000000,top
"R18","100R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",114.090000,-133.790000,180.000000,top
"R19","100R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",107.940000,-135.110000,180.000000,top
"R20","100R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",103.242500,-134.360000,0.000000,top
"R22","54k9","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",113.880000,-103.397500,-90.000000,top
"R28","220R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",103.807500,-102.120000,180.000000,top
"R29","220R","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",105.080000,-101.657500,-90.000000,top
"R31","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",109.947500,-105.430000,180.000000,top
"R32","10kNTC","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",109.950000,-103.780000,180.000000,top
"U1","~","SOT-583-8",112.640000,-125.350000,0.000000,top
"U2","~","SOT-583-8",105.570000,-125.390000,0.000000,top
"U3","~","SOT-583-8",98.630000,-126.220000,0.000000,top
"U4","AD8417","MSOP",114.000000,-131.370000,0.000000,top
"U5","AD8417","MSOP",106.165000,-131.375000,0.000000,top
"U6","AD8417","MSOP",98.380000,-131.260000,0.000000,top
"U7","STM32F405RGT6","LQFP-64_10x10mm_P0.5mm",104.910000,-110.975000,180.000000,top
"U10","MCP1700","SOT-23",110.960000,-98.862500,90.000000,top
"U11","~","UT6K3",116.220000,-125.460000,180.000000,top
"U12","~","UT6K3",109.260000,-125.420000,180.000000,top
"U13","~","UT6K3",101.230000,-126.570000,180.000000,top
"U14","TJA1051TK-3","DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm",107.030000,-119.225000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",114.330000,-113.680000,90.000000,top
