"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C90,C11,C18,C86,C17,C77,C9,C10,C89,C87,C88,C24";"C_0402_1005Metric";12;"2u2";;;
2;"C2,C6,C7,C4,C3,C5";"C_0402_1005Metric";6;"1u";;;
3;"R18,R20,R19";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"100R";;;
4;"R15,R5,R13,R17";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";4;"2k2";;;
5;"C13,C12,C8,C20,C28,C32,C19";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";7;"100n";;;
6;"R9,R29,R28";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"220R";;;
7;"U1,U2,U3";"SOT-583-8";3;"~";;;
8;"U6,U4,U5";"MSOP";3;"AD8417";;;
9;"R1,R3,R2";"R_0603_1608Metric";3;"5m";;;
10;"C30,C31";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"10pF";;;
11;"R16";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"25k5";;;
12;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
13;"U7";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGT6";;;
14;"U14";"DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm";1;"TJA1051TK-3";;;
15;"U10,U9";"SOT-23";2;"MCP1700";;;
16;"J9";"PinHeader_1x02_P1.00mm_Vertical";1;"Additional_UART";;;
17;"C15,C14,C16";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"4n7";;;
18;"U11,U13,U12";"UT6K3";3;"~";;;
19;"R8,R6,R7";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"4.7";;;
20;"R22";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"54k9";;;
21;"R31,R21";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"10k";;;
22;"P1,P2,P3";"PinHeader_1x01_P2.00mm_Vertical";3;"CONN_1";;;
23;"D3,D4";"LED_0402_1005Metric";2;"LED";;;
24;"R4,R12,R14";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"39k";;;
25;"J2";"Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical";1;"Writer";;;
26;"D1";"D_SOD-123";1;"PMEG6020AELR";;;
27;"R32";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"10kNTC";;;
28;"C23";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"220nF";;;
29;"J6";"Inductor_pad";1;"Inductor1";;;
30;"C1,C21,C25";"C_0805_2012Metric";3;"10u";;;
31;"J8";"Inductor_pad";1;"Inductor3";;;
32;"L1";"WE-MAPI";1;"Wurth Electronics 74438335220";;;
33;"J1";"Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical";1;"Conn_01x05";;;
34;"J5";"Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical";1;"Encoder";;;
35;"U8";"SOT-23-6";1;"LMR16006YDDCT";;;
36;"J7";"Inductor_pad";1;"Inductor2";;;
37;"J4";"JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal";1;"CAN2";;;
38;"R33";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"100k";;;
39;"J3";"JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal";1;"CAN1";;;
